quote|author|category
'Age' is the acceptance of a term of years. But maturity is the glory of years.|Martha Graham|['age']
'Beauty is truth, truth beauty,' - that is all ye know on earth, and all ye need to know.|John Keats|['beauty', 'truth']
'Dallas' hit a chord back in the late Seventies and Eighties because it was the age of greed: here you have this unapologetic character who is mean and nasty and ruthless and does it all with an evil grin. I think people related to JR back then because we all have someone we know exactly like him. Everyone in the world knows a JR.|Larry Hagman|['age']
'Evil men have no songs.' How is it that the Russians have songs?|Friedrich Nietzsche|['men']
'Handsome' means many things to many people. If people consider me handsome, I feel flattered - and have my parents to thank for it. Realistically, it doesn't hurt to be good-looking, especially in this business.|Richard Chamberlain|['beauty', 'business']
'Healing,' Papa would tell me, 'is not a science, but the intuitive art of wooing nature.'|W. H. Auden|['art', 'nature', 'science']
'Home Alone' was a movie, not an alibi.|Jerry Orbach|['movies']
'Men have forgotten this truth,' said the fox. 'But you must not forget it. You become responsible, forever, for what you have tamed.'|Antoine de Saint-Exupery|['men', 'truth']
'No Child Left Behind' requires states and school districts to ensure that all students are learning and are reaching their highest potential. Special education students should not be left out of these accountability mechanisms.|Dianne Feinstein|['education', 'learning']
'Pure experience' is the name I gave to the immediate flux of life which furnishes the material to our later reflection with its conceptual categories.|William James|['experience']
'The time has come,' the walrus said, 'to talk of many things: of shoes and ships - and sealing wax - of cabbages and kings.'|Lewis Carroll|['time']
'Therefore' is a word the poet must not know.|Andre Gide|['poetry']
'Til the infallibility of human judgements shall have been proved to me, I shall demand the abolition of the penalty of death.|Marquis de Sade|['death']
'Tis always morning somewhere in the world.|Richard Henry Horne|['morning']
'Tis best to weigh the enemy more mighty than he seems.|William Shakespeare|['best']
'Tis better to have loved and lost than never to have loved at all.|Alfred Lord Tennyson|['love']
'Tis easy enough to be pleasant, When life flows along like a song But the man worth while is the one who will smile when everything goes dead wrong.|Ella Wheeler Wilcox|['men', 'smile']
'Tis education forms the common mind just as the twig is bent the tree's inclined.|Alexander Pope|['education']
'Tis healthy to be sick sometimes.|Henry David Thoreau|['health']
'Tis skill, not strength, that governs a ship.|Thomas Fuller|['strength']
'Tis the business of little minds to shrink but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.|Thomas Paine|['business', 'death', 'politics']
'Tis the last rose of summer Left blooming alone All her lovely companions Are faded and gone.|Thomas More|['alone']
'Tis very certain the desire of life prolongs it.|Lord Byron|['death']
'Tis well enough for a servant to be bred at an University. But the education is a little too pedantic for a gentleman.|William Congreve|['education']
(On seeing a former lover for the first time in years) I thought I told you to wait in the car.|Tallulah Bankhead|['car', 'time']
15 minutes a day! Give me just this and I'll prove I can make you a new man.|Charles Atlas|['fitness']
1988 I also received from the city of Vienna the cross of honour for art and science. These titles and the various honors mean a great deal to me, most of all for the reason that they would mean a great deal to my parents too.|Leon Askin|['science']
90 percent of my time is spent on 10 percent of the world.|Colin Powell|['history', 'time']
90%, 100% are going there to hear the singing. The story is another thing. Nobody's interested in the story. Happiness is happiness.|Cab Calloway|['happiness']
A 'scream' is always just that - a noise and not music.|Carl Jung|['music']
A Bill of Rights is what the people are entitled to against every government, and what no just government should refuse, or rest on inference.|Thomas Jefferson|['government']
A Boss in Heaven is the best excuse for a boss on earth, therefore If God did exist, he would have to be abolished.|Mikhail Bakunin|['best', 'god']
A Code of Honor: Never approach a friend's girlfriend or wife with mischief as your goal. There are just too many women in the world to justify that sort of dishonorable behavior. Unless she's really attractive.|Bruce Jay Friedman|['women']
A Conservative Government is an organized hypocrisy.|Benjamin Disraeli|['government']
A Conservative is a fellow who is standing athwart history yelling 'Stop!'|William F. Buckley, Jr.|['history']
A God without dominion, providence, and final causes, is nothing else but fate and nature.|Alexander Pope|['god', 'nature']
A James Cagney love scene is one where he lets the other guy live.|Bob Hope|['funny', 'love']
A Libertarian society of unfettered individualism spreads its benefits to virtually everyone - not just those who have the resources to seize political power.|Harry Browne|['society']
A State without the means of some change is without the means of its conservation.|Edmund Burke|['change']
A University should be a place of light, of liberty, and of learning.|Benjamin Disraeli|['learning']
A am a great friend of public amusements, they keep people from vice.|Samuel Johnson|['great']
A baby is God's opinion that life should go on.|Carl Sandburg|['god', 'life']
A bachelor's life is a fine breakfast, a flat lunch, and a miserable dinner.|Francis Bacon|['life']
A bad book is as much of a labor to write as a good one, it comes as sincerely from the author's soul.|Aldous Huxley|['good']
A bad book is the worse that it cannot repent. It has not been the devil's policy to keep the masses of mankind in ignorance but finding that they will read, he is doing all in his power to poison their books.|John Kenneth Galbraith|['power']
A bad man is the sort who weeps every time he speaks of a good woman.|H. L. Mencken|['good', 'time']
A bad peace is even worse than war.|Tacitus|['peace', 'war']
A ball player has to be kept hungry to become a big leaguer. That's why no boy from a rich family has ever made the big leagues.|Joe DiMaggio|['family']
A bank is a place that will lend you money if you can prove that you don't need it.|Bob Hope|['money']
A battle lost or won is easily described, understood, and appreciated, but the moral growth of a great nation requires reflection, as well as observation, to appreciate it.|Frederick Douglass|['great']
A belief in hell and the knowledge that every ambition is doomed to frustration at the hands of a skeleton have never prevented the majority of human beings from behaving as though death were no more than an unfounded rumor.|Aldous Huxley|['death', 'knowledge']
A bell's not a bell 'til you ring it, A song's not a song 'til you sing it, Love in your heart wasn't put there to stay, Love isn't love 'til you give it away!|Oscar Hammerstein II|['love']
A better world shall emerge based on faith and understanding.|Douglas MacArthur|['faith']
A bird doesn't sing because it has an answer, it sings because it has a song.|Lou Holtz|['nature']
A blank wall of social and professional antagonism faces the woman physician that forms a situation of singular and painful loneliness, leaving her without support, respect or professional counsel.|Elizabeth Blackwell|['respect']
A blessed thing it is for any man or woman to have a friend, one human soul whom we can trust utterly, who knows the best and worst of us, and who loves us in spite of all our faults.|Charles Kingsley|['best', 'trust']
A book has got smell. A new book smells great. An old book smells even better. An old book smells like ancient Egypt.|Ray Bradbury|['great']
A book is a fragile creature, it suffers the wear of time, it fears rodents, the elements and clumsy hands. so the librarian protects the books not only against mankind but also against nature and devotes his life to this war with the forces of oblivion.|Umberto Eco|['nature', 'war']
A book is good company. It is full of conversation without loquacity. It comes to your longing with full instruction, but pursues you never.|Henry Ward Beecher|['good']
A book is sent out into the world, and there is no way of fully anticipating the responses it will elicit. Consider the responses called forth by the Bible, Homer, Shakespeare - let alone contemporary poetry or a modern novel.|Chaim Potok|['alone', 'poetry']
A boy's story is the best that is ever told.|Charles Dickens|['best']
A broad margin of leisure is as beautiful in a man's life as in a book. Haste makes waste, no less in life than in housekeeping. Keep the time, observe the hours of the universe, not of the cars.|Henry David Thoreau|['life', 'time']
A building has integrity just like a man. And just as seldom.|Ayn Rand|['architecture']
A business absolutely devoted to service will have only one worry about profits. They will be embarrassingly large.|Henry Ford|['business']
A business that makes nothing but money is a poor business.|Henry Ford|['business', 'money']
A car for every purse and purpose.|Alfred P. Sloan|['car']
A careful inspection showed them that, even if they succeeded in righting it by themselves, the cart would travel no longer. The axles were in a hopeless state, and the missing wheel was shattered into pieces.|Kenneth Grahame|['travel']
A caricature is putting the face of a joke on the body of a truth.|Joseph Conrad|['truth']
A casual stroll through the lunatic asylum shows that faith does not prove anything.|Friedrich Nietzsche|['faith']
A celibate clergy is an especially good idea, because it tends to suppress any hereditary propensity toward fanaticism.|Carl Sagan|['good']
A chain is no stronger than its weakest link, and life is after all a chain.|William James|['life']
A chair is a very difficult object. A skyscraper is almost easier. That is why Chippendale is famous.|Ludwig Mies van der Rohe|['famous']
A change in the weather is sufficient to recreate the world and ourselves.|Marcel Proust|['change']
A chief event of life is the day in which we have encountered a mind that startled us.|Ralph Waldo Emerson|['life']
A chief is a man who assumes responsibility. He says 'I was beaten,' he does not say 'My men were beaten.'|Antoine de Saint-Exupery|['men']
A child is owed the greatest respect if you have ever have something disgraceful in mind, don't ignore your son's tender years.|Juvenal|['respect']
A child of five would understand this. Send someone to fetch a child of five.|Groucho Marx|['funny']
A child who is allowed to be disrespectful to his parents will not have true respect for anyone.|Billy Graham|['parenting', 'respect']
A child's education should begin at least one hundred years before he is born.|Oliver Wendell Holmes, Jr.|['education']
A child, from the time he can think, should think about all he sees, should suffer for all who cannot live with honesty, should work so that all men can be honest, and should be honest himself.|Jose Marti|['work']
A city is a place where there is no need to wait for next week to get the answer to a question, to taste the food of any country, to find new voices to listen to and familiar ones to listen to again.|Margaret Mead|['food']
A civilization is a heritage of beliefs, customs, and knowledge slowly accumulated in the course of centuries, elements difficult at times to justify by logic, but justifying themselves as paths when they lead somewhere, since they open up for man his inner distance.|Antoine de Saint-Exupery|['knowledge']
A civilization is built on what is required of men, not on that which is provided for them.|Antoine de Saint-Exupery|['men']
A civilized nation can have no enemies, and one cannot draw a line across a map, a line that doesn't even exist in nature and say that the ugly enemy lives on the one side, and good friends live on the other.|Thor Heyerdahl|['nature']
A civilized society is one which tolerates eccentricity to the point of doubtful sanity.|Robert Frost|['society']
A claim for equality of material position can be met only by a government with totalitarian powers.|Friedrich August von Hayek|['equality', 'government']
A clever, imagination, humorous request can open closed doors and closed minds.|Percy Ross|['imagination']
A cloudy day or a little sunshine have as great an influence on many constitutions as the most recent blessings or misfortunes.|Joseph Addison|['great']
A coldly rationalist individualist can deny that he has any obligation to make sacrifices for the future.|Garrett Hardin|['future']
A comedian's body is funny as well as his mind being funny, his whole personage is funny.|Bobby Darin|['funny']
A comfortable house is a great source of happiness. It ranks immediately after health and a good conscience.|Sydney Smith|['happiness', 'health']
A comfortable old age is the reward of a well-spent youth. Instead of its bringing sad and melancholy prospects of decay, it would give us hopes of eternal youth in a better world.|Maurice Chevalier|['age', 'sad']
A commitment to human rights cannot be fostered simply through the transmission of knowledge. Action and experience play a crucial role in the learning process.|Daisaku Ikeda|['experience', 'knowledge', 'learning']
A committee is a group that keeps minutes and loses hours.|Milton Berle|['funny']
A company is only as good as the people it keeps.|Mary Kay Ash|['business']
A company is stronger if it is bound by love rather than by fear.|Herb Kelleher|['fear']
A competent and self-confident person is incapable of jealousy in anything. Jealousy is invariably a symptom of neurotic insecurity.|Robert A. Heinlein|['jealousy']
A complacent satisfaction with present knowledge is the chief bar to the pursuit of knowledge.|B. H. Liddell Hart|['knowledge']
A compliment is something like a kiss through a veil.|Victor Hugo|['inspirational']
A conqueror is always a lover of peace.|Karl Von Clausewitz|['peace']
A conservative is a man who just sits and thinks, mostly sits.|Woodrow Wilson|['politics']
A conservative is a man with two perfectly good legs who, however, has never learned how to walk forward.|Franklin D. Roosevelt|['good', 'politics']
A conservative is someone who makes no changes and consults his grandmother when in doubt.|Woodrow Wilson|['politics']
A conversation goes sometimes into personal things and that's nicer. You look to each other and you have a different picture, you get into a relationship.|Maximilian Schell|['relationship']
A conversation is a dialogue, not a monologue. That's why there are so few good conversations: due to scarcity, two intelligent talkers seldom meet.|Truman Capote|['good']
A couple of weeks is a long time in American politics.|Peter Jennings|['politics']
A coward is incapable of exhibiting love it is the prerogative of the brave.|Mahatma Gandhi|['love']
A creative man is motivated by the desire to achieve, not by the desire to beat others.|Ayn Rand|['motivational']
A critic is a man who knows the way but can't drive the car.|Kenneth Tynan|['car']
A cult is a religion with no political power.|Tom Wolfe|['religion']
A day spent praising the earth and lamenting man's pollutionist history makes you feel like a superior, sensitive soul.|Russell Baker|['history']
